2011-06-25 02:40:41 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 00:27:36 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 01:29:28 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 01:42:33 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 02:31:20 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 04:35:05 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 05:36:56 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-26 06:19:40 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-27 11:50:41 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-30 01:08:37 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-06-30 19:47:58 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-06 01:45:24 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-06 21:18:52 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-10 09:47:29 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-10 19:36:26 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-11 02:08:48 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-11 22:34:35 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-12 00:28:20 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-12 00:56:46 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-12 08:02:58 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-12 10:52:21 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-12 12:33:31 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-14 11:11:57 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-16 08:08:14 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-17 20:53:45 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-20 08:04:18 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-22 18:19:17 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-31 13:12:51 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-07-31 17:39:54 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-08-02 12:44:21 Notice: Notice (8): Undefined property: Aro::$Permission in [/home/embalao/embalao.org/tecnocenter/cake/libs/controller/components/acl.php, line 268]
2011-08-02 12:44:46 Notice: Notice (8): Undefined property: Aro::$Permission in [/home/embalao/embalao.org/tecnocenter/cake/libs/controller/components/acl.php, line 268]
2011-08-08 02:57:11 Notice: Notice (8): Undefined property: Survey::$SurveyOption in [/home/embalao/embalao.org/tecnocenter/app/app_controller.php, line 63]
2011-08-09 13:27:54 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-09 15:32:07 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-09 16:48:57 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-09 19:49:13 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
2011-08-09 19:50:15 Notice: Notice (8): Uninitialized string offset: 0 in [/home/tecnocen/public_html/cake/libs/view/helpers/html.php, line 608]
